market_slug,ticker,earnings_date,eps_type,accounting_basis,eps_target,actual_eps,consensus_mean,beat_prob_last,sigma,implied_eps_t,implied_eps_ecdf
chdn-quarterly-earnings-gaap-eps-10-22-2025-1,CHDN,2025-10-22,gaap,GAAP,1.0,0.54,0.95,0.06685041399062008,0.4722197340992086,0.11,0.44
chgg-quarterly-earnings-nongaap-eps-02-09-2026-neg0pt1,CHGG,2026-02-09,nongaap,Non-GAAP,-0.1,0.03,-0.11,0.638622581920103,0.04252450274057691,-0.08,-0.11
chgg-quarterly-earnings-nongaap-eps-11-10-2025-neg0pt08,CHGG,2025-11-10,nongaap,Non-GAAP,-0.08,0.0,-0.06,0.2868604031737999,0.04355421560503296,-0.11,-0.1
chwy-quarterly-earnings-nongaap-eps-12-10-2025-0pt3,CHWY,2025-12-10,nongaap,Non-GAAP,0.3,0.14,0.13,0.8764309389594198,0.06853444168423418,0.39,0.33
ci-quarterly-earnings-nongaap-eps-02-05-2026-7pt88,CI,2026-02-05,nongaap,Non-GAAP,7.88,29.84,7.88,0.781076553481289,0.40130374651839107,8.23,7.78
clx-quarterly-earnings-nongaap-eps-11-03-2025-0pt79,CLX,2025-11-03,nongaap,Non-GAAP,0.79,0.85,0.79,0.88769904961834,0.3015854570081056,1.22,0.71
cme-quarterly-earnings-nongaap-eps-02-04-2026-2pt74,CME,2026-02-04,nongaap,Non-GAAP,2.74,11.2,2.74,0.8681347655956104,0.027906771199618905,2.78,2.72
cme-quarterly-earnings-nongaap-eps-10-22-2025-2pt65,CME,2025-10-22,nongaap,Non-GAAP,2.65,2.68,2.64,0.8240341853480426,0.027906771199618905,2.68,2.63
cof-quarterly-earnings-nongaap-eps-01-22-2026-4pt17,COF,2026-01-22,nongaap,Non-GAAP,4.17,19.61,4.11,0.8966689948554947,1.000504039638688,5.68,4.55
coin-quarterly-earnings-gaap-eps-02-12-2026-0pt61,COIN,2026-02-12,gaap,GAAP,0.61,4.45,1.11,0.20351316510768808,1.7399494942164966,-1.0,-2.66
coin-quarterly-earnings-gaap-eps-11-03-2025-1pt18,COIN,2025-11-03,gaap,GAAP,1.18,1.5,1.16,0.9989999999999997,1.754935032899215,13.77,3.08
cop-quarterly-earnings-nongaap-eps-02-05-2026-1pt11,COP,2026-02-05,nongaap,Non-GAAP,1.11,6.16,1.18,0.585532824251838,0.15149757473806352,1.14,1.09
cop-quarterly-earnings-nongaap-eps-11-06-2025-1pt41,COP,2025-11-06,nongaap,Non-GAAP,1.41,1.61,1.43,0.8710946464056727,0.1500807863260398,1.61,1.53
cost-quarterly-earnings-gaap-eps-12-11-2025-4pt28,COST,2025-12-11,gaap,GAAP,4.28,4.5,4.26,0.9324681328259536,0.18608201189667728,4.63,4.43
cour-quarterly-earnings-nongaap-eps-10-23-2025-0pt08,COUR,2025-10-23,nongaap,Non-GAAP,0.08,0.1,0.08,0.740436425686833,0.030550504633038933,0.1,0.07
cpb-quarterly-earnings-nongaap-eps-12-09-2025-0pt73,CPB,2025-12-09,nongaap,Non-GAAP,0.73,0.77,0.73,0.9386914968338507,0.04273774855458757,0.81,0.72
crm-quarterly-earnings-nongaap-eps-12-03-2025-2pt86,CRM,2025-12-03,nongaap,Non-GAAP,2.86,3.25,2.86,0.9380449013767018,0.09807232952358078,3.05,2.85
csco-quarterly-earnings-nongaap-eps-02-11-2026-1pt02,CSCO,2026-02-11,nongaap,Non-GAAP,1.02,1.04,1.02,0.9142485895338035,0.022896340848319485,1.06,1.0
csco-quarterly-earnings-nongaap-eps-11-12-2025-0pt98,CSCO,2025-11-12,nongaap,Non-GAAP,0.98,1.0,0.98,0.9597180175607924,0.022896340848319485,1.03,0.97
